,C,Kernel,p,q,Accuracy,False negative rate,False positive rate,sum
275,2.0,poly,7,8,0.8794326241134752,0.11789772727272728,0.19105113636363635,0.30894886363636365
177,1.0,poly,7,4,0.7978723404255319,0.12286931818181818,0.18607954545454544,0.30894886363636365
366,5.0,poly,5,6,0.8049645390070922,0.13920454545454544,0.17045454545454544,0.3096590909090909
173,1.0,poly,5,4,0.8120567375886525,0.125,0.18536931818181818,0.3103693181818182
372,5.0,poly,9,2,0.8794326241134752,0.12926136363636365,0.1825284090909091,0.3117897727272727
373,5.0,poly,9,4,0.8262411347517731,0.14133522727272727,0.17258522727272727,0.31392045454545453
175,1.0,poly,5,8,0.8120567375886525,0.1455965909090909,0.16832386363636365,0.3139204545454546
170,1.0,poly,3,6,0.8085106382978723,0.14417613636363635,0.17045454545454544,0.31463068181818177
376,5.0,poly,11,2,0.8439716312056738,0.12002840909090909,0.19673295454545456,0.31676136363636365
178,1.0,poly,7,6,0.8226950354609929,0.10440340909090909,0.21306818181818182,0.31747159090909094
172,1.0,poly,5,2,0.7801418439716312,0.13352272727272727,0.1846590909090909,0.3181818181818182
369,5.0,poly,7,4,0.8262411347517731,0.13920454545454544,0.18039772727272727,0.3196022727272727
321,5.0,rbf,7,4,0.8297872340425532,0.09232954545454546,0.2294034090909091,0.32173295454545453
169,1.0,poly,3,4,0.8368794326241135,0.13210227272727273,0.18963068181818182,0.3217329545454546
274,2.0,poly,7,6,0.8085106382978723,0.1512784090909091,0.171875,0.32315340909090906
174,1.0,poly,5,6,0.8297872340425532,0.15056818181818182,0.17258522727272727,0.32315340909090906
269,2.0,poly,5,4,0.8085106382978723,0.11860795454545454,0.20454545454545456,0.3231534090909091
179,1.0,poly,7,8,0.8333333333333334,0.1512784090909091,0.17258522727272727,0.32386363636363635
378,5.0,poly,11,6,0.8475177304964538,0.13920454545454544,0.18536931818181818,0.32457386363636365
370,5.0,poly,7,6,0.8191489361702128,0.1356534090909091,0.1903409090909091,0.3259943181818182
224,2.0,rbf,7,2,0.8687943262411347,0.09730113636363637,0.22869318181818182,0.3259943181818182
222,2.0,rbf,5,6,0.8333333333333334,0.10724431818181818,0.21875,0.3259943181818182
185,1.0,poly,11,4,0.8191489361702128,0.15625,0.171875,0.328125
323,5.0,rbf,7,8,0.851063829787234,0.09161931818181818,0.23792613636363635,0.32954545454545453
186,1.0,poly,11,6,0.8333333333333334,0.13920454545454544,0.1903409090909091,0.32954545454545453
272,2.0,poly,7,2,0.8049645390070922,0.15482954545454544,0.17542613636363635,0.33025568181818177
226,2.0,rbf,7,6,0.8049645390070922,0.08735795454545454,0.24360795454545456,0.3309659090909091
266,2.0,poly,3,6,0.8368794326241135,0.12855113636363635,0.203125,0.33167613636363635
176,1.0,poly,7,2,0.8297872340425532,0.1356534090909091,0.19673295454545456,0.33238636363636365
168,1.0,poly,3,2,0.8368794326241135,0.11008522727272728,0.22230113636363635,0.33238636363636365
279,2.0,poly,9,8,0.8404255319148937,0.12713068181818182,0.20738636363636365,0.33451704545454547
131,1.0,rbf,7,8,0.8475177304964538,0.11647727272727272,0.21875,0.3352272727272727
187,1.0,poly,11,8,0.8546099290780141,0.10724431818181818,0.22798295454545456,0.3352272727272727
367,5.0,poly,5,8,0.8617021276595744,0.13068181818181818,0.20454545454545456,0.3352272727272727
326,5.0,rbf,9,6,0.8617021276595744,0.09019886363636363,0.2450284090909091,0.3352272727272727
125,1.0,rbf,5,4,0.8439716312056738,0.11576704545454546,0.21946022727272727,0.3352272727272727
267,2.0,poly,3,8,0.8439716312056738,0.12926136363636365,0.2059659090909091,0.3352272727272727
276,2.0,poly,9,2,0.8262411347517731,0.12926136363636365,0.2059659090909091,0.3352272727272727
282,2.0,poly,11,6,0.8546099290780141,0.12855113636363635,0.20738636363636365,0.3359375
129,1.0,rbf,7,4,0.8581560283687943,0.11789772727272728,0.21875,0.3366477272727273
317,5.0,rbf,5,4,0.8120567375886525,0.11008522727272728,0.23011363636363635,0.34019886363636365
