,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
0,0.1,linear,3,2,0.8687943262411347,0.15269886363636365,0.2421875
1,0.1,linear,3,4,0.8262411347517731,0.1377840909090909,0.28551136363636365
2,0.1,linear,3,6,0.8368794326241135,0.16477272727272727,0.21661931818181818
3,0.1,linear,3,8,0.8191489361702128,0.15767045454545456,0.2833806818181818
4,0.1,linear,5,2,0.8475177304964538,0.16051136363636365,0.22301136363636365
5,0.1,linear,5,4,0.8333333333333334,0.14985795454545456,0.25426136363636365
6,0.1,linear,5,6,0.7978723404255319,0.12926136363636365,0.2713068181818182
7,0.1,linear,5,8,0.8156028368794326,0.140625,0.2791193181818182
8,0.1,linear,7,2,0.8404255319148937,0.16832386363636365,0.22514204545454544
9,0.1,linear,7,4,0.8581560283687943,0.1278409090909091,0.2911931818181818
10,0.1,linear,7,6,0.8191489361702128,0.14772727272727273,0.24289772727272727
11,0.1,linear,7,8,0.8120567375886525,0.14630681818181818,0.2684659090909091
12,0.1,linear,9,2,0.851063829787234,0.12855113636363635,0.3210227272727273
13,0.1,linear,9,4,0.8687943262411347,0.13423295454545456,0.2507102272727273
14,0.1,linear,9,6,0.8475177304964538,0.1455965909090909,0.25355113636363635
15,0.1,linear,9,8,0.8794326241134752,0.12286931818181818,0.28125
16,0.1,linear,11,2,0.8475177304964538,0.11576704545454546,0.33167613636363635
17,0.1,linear,11,4,0.8546099290780141,0.1171875,0.3288352272727273
18,0.1,linear,11,6,0.8439716312056738,0.13423295454545456,0.2897727272727273
19,0.1,linear,11,8,0.851063829787234,0.10866477272727272,0.3721590909090909
20,0.1,linear,13,2,0.8581560283687943,0.11505681818181818,0.3366477272727273
21,0.1,linear,13,4,0.8865248226950354,0.11434659090909091,0.33948863636363635
22,0.1,linear,13,6,0.8191489361702128,0.10795454545454546,0.2947443181818182
23,0.1,linear,13,8,0.8368794326241135,0.1015625,0.3828125
24,0.1,rbf,3,2,0.7624113475177305,0.29545454545454547,0.15767045454545456
25,0.1,rbf,3,4,0.8226950354609929,0.26136363636363635,0.1825284090909091
26,0.1,rbf,3,6,0.8368794326241135,0.13920454545454544,0.30042613636363635
27,0.1,rbf,3,8,0.7659574468085106,0.34019886363636365,0.16761363636363635
28,0.1,rbf,5,2,0.8297872340425532,0.18678977272727273,0.24857954545454544
29,0.1,rbf,5,4,0.776595744680851,0.34019886363636365,0.14204545454545456
30,0.1,rbf,5,6,0.8191489361702128,0.22088068181818182,0.21661931818181818
31,0.1,rbf,5,8,0.6808510638297872,0.017045454545454544,0.8373579545454546
32,0.1,rbf,7,2,0.7836879432624113,0.3359375,0.13210227272727273
33,0.1,rbf,7,4,0.7943262411347518,0.27485795454545453,0.19744318181818182
34,0.1,rbf,7,6,0.7730496453900709,0.3210227272727273,0.14914772727272727
35,0.1,rbf,7,8,0.7872340425531915,0.0625,0.5774147727272727
36,0.1,rbf,9,2,0.8297872340425532,0.20738636363636365,0.2521306818181818
37,0.1,rbf,9,4,0.8333333333333334,0.2450284090909091,0.21022727272727273
38,0.1,rbf,9,6,0.8226950354609929,0.1768465909090909,0.2947443181818182
39,0.1,rbf,9,8,0.7978723404255319,0.13920454545454544,0.3586647727272727
40,0.1,rbf,11,2,0.851063829787234,0.16832386363636365,0.3231534090909091
41,0.1,rbf,11,4,0.851063829787234,0.14985795454545456,0.32954545454545453
42,0.1,rbf,11,6,0.8475177304964538,0.2265625,0.23224431818181818
43,0.1,rbf,11,8,0.75177304964539,0.044744318181818184,0.6882102272727273
44,0.1,rbf,13,2,0.8546099290780141,0.19105113636363635,0.2741477272727273
45,0.1,rbf,13,4,0.8049645390070922,0.04261363636363636,0.7514204545454546
46,0.1,rbf,13,6,0.8333333333333334,0.17826704545454544,0.2997159090909091
47,0.1,rbf,13,8,0.7872340425531915,0.33948863636363635,0.125
48,0.1,sigmoid,3,2,0.8226950354609929,0.3039772727272727,0.19886363636363635
49,0.1,sigmoid,3,4,0.7978723404255319,0.2393465909090909,0.19602272727272727
50,0.1,sigmoid,3,6,0.7907801418439716,0.2919034090909091,0.16193181818181818
51,0.1,sigmoid,3,8,0.8226950354609929,0.24573863636363635,0.18963068181818182
52,0.1,sigmoid,5,2,0.8439716312056738,0.20951704545454544,0.20880681818181818
53,0.1,sigmoid,5,4,0.7978723404255319,0.25923295454545453,0.17400568181818182
54,0.1,sigmoid,5,6,0.7943262411347518,0.2450284090909091,0.1768465909090909
55,0.1,sigmoid,5,8,0.8368794326241135,0.1796875,0.21946022727272727
56,0.1,sigmoid,7,2,0.8085106382978723,0.2571022727272727,0.17755681818181818
57,0.1,sigmoid,7,4,0.7730496453900709,0.2372159090909091,0.17826704545454544
58,0.1,sigmoid,7,6,0.8439716312056738,0.21519886363636365,0.21448863636363635
59,0.1,sigmoid,7,8,0.8262411347517731,0.23366477272727273,0.17542613636363635
60,0.1,sigmoid,9,2,0.8723404255319149,0.18536931818181818,0.2713068181818182
61,0.1,sigmoid,9,4,0.8971631205673759,0.18039772727272727,0.24431818181818182
62,0.1,sigmoid,9,6,0.8404255319148937,0.14133522727272727,0.29332386363636365
63,0.1,sigmoid,9,8,0.8333333333333334,0.1924715909090909,0.265625
64,0.1,sigmoid,11,2,0.8900709219858156,0.15625,0.3117897727272727
65,0.1,sigmoid,11,4,0.8297872340425532,0.14985795454545456,0.26917613636363635
66,0.1,sigmoid,11,6,0.8297872340425532,0.203125,0.20454545454545456
67,0.1,sigmoid,11,8,0.8297872340425532,0.14701704545454544,0.3309659090909091
68,0.1,sigmoid,13,2,0.8829787234042553,0.13423295454545456,0.3700284090909091
69,0.1,sigmoid,13,4,0.8971631205673759,0.13636363636363635,0.3664772727272727
70,0.1,sigmoid,13,6,0.851063829787234,0.13849431818181818,0.34019886363636365
71,0.1,sigmoid,13,8,0.875886524822695,0.1377840909090909,0.3309659090909091
72,0.1,poly,3,2,0.7127659574468085,0.5284090909090909,0.045454545454545456
73,0.1,poly,3,4,0.48226950354609927,0.0,0.9985795454545454
74,0.1,poly,3,6,0.5319148936170213,0.0,1.0
