,p,q,Accuracy,False negative rate,False positive rate
0,7,2,0.8226950354609929,0.1278409090909091,0.15269886363636365
1,7,4,0.8475177304964538,0.15411931818181818,0.11079545454545454
2,7,6,0.8049645390070922,0.22585227272727273,0.04971590909090909
3,7,8,0.7127659574468085,0.3600852272727273,0.029829545454545456
4,9,2,0.8687943262411347,0.12713068181818182,0.1434659090909091
5,9,4,0.7943262411347518,0.2159090909090909,0.060369318181818184
6,9,6,0.7375886524822695,0.3203125,0.026988636363636364
7,9,8,0.5815602836879432,0.4509943181818182,0.02556818181818182
8,11,2,0.8014184397163121,0.18181818181818182,0.07457386363636363
9,11,4,0.7092198581560284,0.2869318181818182,0.04403409090909091
10,11,6,0.6418439716312057,0.4289772727272727,0.015625
11,11,8,0.6418439716312057,0.47017045454545453,0.01065340909090909
12,13,2,0.74822695035461,0.29829545454545453,0.032670454545454544
13,13,4,0.6595744680851063,0.375,0.03196022727272727
14,13,6,0.5460992907801419,0.47230113636363635,0.013494318181818182
15,13,8,0.46808510638297873,0.5632102272727273,0.009232954545454546
